"pitanje","konfiguracija","tocnost","korisnost","halucinacije"
1,"GraphRAG",2,2,2
1,"RAG",2,2,2
1,"Vanilla",1.5,2,2
2,"GraphRAG",2,2,2
2,"RAG",1.5,2,2
2,"Vanilla",1,2,2
3,"GraphRAG",2,2,2
3,"RAG",2,2.5,2
3,"Vanilla",1.5,1.5,2
4,"GraphRAG",2,2,2
4,"RAG",2,2,2
4,"Vanilla",2,2,1.5
5,"GraphRAG",2.5,2,2
5,"RAG",2,2,2
5,"Vanilla",2,2,2
6,"GraphRAG",2,2,2
6,"RAG",2,2,2
6,"Vanilla",2,2,2
7,"GraphRAG",2,3,2
7,"RAG",2,2,2
7,"Vanilla",1.5,2,1
8,"GraphRAG",2,2,2
8,"RAG",2,2,2
8,"Vanilla",1.5,2,2
9,"GraphRAG",3,3,2.5
9,"RAG",3,3,2.5
9,"Vanilla",2,1.5,2
10,"GraphRAG",1,1,1.5
10,"RAG",3,2.5,2.5
10,"Vanilla",2,2,2
11,"GraphRAG",3,2.5,2.5
11,"RAG",2.5,2,2.5
11,"Vanilla",1,1,1
12,"GraphRAG",2,1.5,2
12,"RAG",2.5,2,2
12,"Vanilla",2,2,2
13,"GraphRAG",2,2,2
13,"RAG",2.5,2,2
13,"Vanilla",1,1,1
14,"GraphRAG",2,2,2
14,"RAG",2,2,2
14,"Vanilla",1,1,1
15,"GraphRAG",3,2,1.5
15,"RAG",3,2.5,1.5
15,"Vanilla",2.5,2,2
16,"GraphRAG",2,2,2
16,"RAG",3,3,2
16,"Vanilla",2,2,2
17,"GraphRAG",2,2,2
17,"RAG",2,2,2
17,"Vanilla",2,2,2
18,"GraphRAG",1.5,2,1.5
18,"RAG",2,1.5,1
18,"Vanilla",1,1,2
19,"GraphRAG",2.5,2.5,2
19,"RAG",3,2,2
19,"Vanilla",1,1,1.5
20,"GraphRAG",3,2.5,2
20,"RAG",3,2,2
20,"Vanilla",2,2,2
21,"GraphRAG",2,2,2
21,"RAG",2.5,2,2
21,"Vanilla",1,1.5,1
22,"GraphRAG",1.5,2,2
22,"RAG",1,2,1
22,"Vanilla",1,1,1.5
23,"GraphRAG",3,2.5,2
23,"RAG",1.5,1.5,2
23,"Vanilla",1.5,2,2
24,"GraphRAG",2.5,2.5,2.5
24,"RAG",1,1.5,2
24,"Vanilla",1.5,1.5,1.5
25,"GraphRAG",3,2.5,2.5
25,"RAG",3,2.5,2.5
25,"Vanilla",1,1,1
26,"GraphRAG",2.5,2,2
26,"RAG",2.5,2,2
26,"Vanilla",1.5,2,2
27,"GraphRAG",2,2,2
27,"RAG",2.5,2,2
27,"Vanilla",1,1,1.5
28,"GraphRAG",2,2,2
28,"RAG",3,2.5,2.5
28,"Vanilla",2,2,2
29,"GraphRAG",3,2,2
29,"RAG",3,2.5,2.5
29,"Vanilla",1,1,1
30,"GraphRAG",3,2,2.5
30,"RAG",3,2.5,2
30,"Vanilla",2.5,2,2
31,"GraphRAG",2.5,2,2
31,"RAG",2,2,2
31,"Vanilla",2,2,2
