"kategorija_kratko","pristup","metrika","mean","sd","n"
"Jednostavna","Vanilla","ROUGE-L",0.1797,0.0775,23
"Jednostavna","Vanilla","BERTScore",0.6958,0.0379,23
"Jednostavna","Vanilla","Cosine Sim.",0.904,0.0209,23
"Jednostavna","RAG","ROUGE-L",0.3965,0.1788,23
"Jednostavna","RAG","BERTScore",0.7599,0.0494,23
"Jednostavna","RAG","Cosine Sim.",0.931,0.0169,23
"Jednostavna","GraphRAG","ROUGE-L",0.3998,0.2127,23
"Jednostavna","GraphRAG","BERTScore",0.7652,0.0727,23
"Jednostavna","GraphRAG","Cosine Sim.",0.934,0.0239,23
"Kompleksna (jedan dok.)","Vanilla","ROUGE-L",0.141,0.0392,5
"Kompleksna (jedan dok.)","Vanilla","BERTScore",0.6545,0.0168,5
"Kompleksna (jedan dok.)","Vanilla","Cosine Sim.",0.9053,0.0096,5
"Kompleksna (jedan dok.)","RAG","ROUGE-L",0.2072,0.0703,5
"Kompleksna (jedan dok.)","RAG","BERTScore",0.6653,0.0406,5
"Kompleksna (jedan dok.)","RAG","Cosine Sim.",0.9079,0.0162,5
"Kompleksna (jedan dok.)","GraphRAG","ROUGE-L",0.1917,0.0659,5
"Kompleksna (jedan dok.)","GraphRAG","BERTScore",0.6595,0.0282,5
"Kompleksna (jedan dok.)","GraphRAG","Cosine Sim.",0.9058,0.0097,5
"Kompleksna (više dok.)","Vanilla","ROUGE-L",0.1127,0.0037,3
"Kompleksna (više dok.)","Vanilla","BERTScore",0.6738,0.0152,3
"Kompleksna (više dok.)","Vanilla","Cosine Sim.",0.9088,0.0131,3
"Kompleksna (više dok.)","RAG","ROUGE-L",0.2034,0.0547,3
"Kompleksna (više dok.)","RAG","BERTScore",0.6803,0.0016,3
"Kompleksna (više dok.)","RAG","Cosine Sim.",0.9222,0.0117,3
"Kompleksna (više dok.)","GraphRAG","ROUGE-L",0.1627,0.0223,3
"Kompleksna (više dok.)","GraphRAG","BERTScore",0.6675,0.0417,3
"Kompleksna (više dok.)","GraphRAG","Cosine Sim.",0.9215,0.0026,3
