"rbr","konfiguracija","tocnost","korisnost","halucinacije","rouge","cosine","bertscore","sekunde"
1,"GraphRAG",2,2,2,0.168103448275862,0.919308841228485,0.714348495006561,65.87
1,"RAG",2,2,2,0.141379310344828,0.909165978431702,0.68168431520462,100.09
1,"Vanilla",1.5,2,2,0.108786610878661,0.916387557983398,0.6909259557724,64.79
2,"GraphRAG",2,2,2,0.138138138138138,0.920747756958008,0.634464085102081,65.68
2,"RAG",1.5,2,2,0.244514106583072,0.925576686859131,0.680676281452179,42.59
2,"Vanilla",1,2,2,0.113333333333333,0.916355490684509,0.661969244480133,36.24
3,"GraphRAG",2,2,2,0.181818181818182,0.924337029457092,0.653797149658203,57.98
3,"RAG",2,2.5,2,0.224390243902439,0.931883156299591,0.678575038909912,62.49
3,"Vanilla",1.5,1.5,2,0.116022099447514,0.893689393997192,0.668536126613617,47.34
4,"GraphRAG",2,2,2,0.275280898876405,0.889880895614624,0.688700258731842,65.09
4,"RAG",2,2,2,0.203473945409429,0.889590740203857,0.670209348201752,78.53
4,"Vanilla",2,2,1.5,0.194174757281553,0.904260456562042,0.681241631507874,50.59
5,"GraphRAG",2.5,2,2,0.143322475570033,0.915345072746277,0.616431772708893,53.01
5,"RAG",2,2,2,0.151041666666667,0.919473767280579,0.631718158721924,71.73
5,"Vanilla",2,2,2,0.169278996865204,0.920220136642456,0.649678707122803,44.15
6,"GraphRAG",2,2,2,0.201780415430267,0.904827177524567,0.653642773628235,62.53
6,"RAG",2,2,2,0.24390243902439,0.905853688716888,0.665750741958618,57.81
6,"Vanilla",2,2,2,0.100456621004566,0.893336534500122,0.642766237258911,35.36
7,"GraphRAG",2,3,2,0.227941176470588,0.910635530948639,0.65865421295166,50.32
7,"RAG",2,2,2,0.132404181184669,0.895808815956116,0.629015564918518,53.5
7,"Vanilla",1.5,2,1,0.125,0.904671669006348,0.639203667640686,42.33
8,"GraphRAG",2,2,2,0.110266159695817,0.908213496208191,0.680206954479218,63.49
8,"RAG",2,2,2,0.305369127516778,0.928677797317505,0.729647099971771,74.68
8,"Vanilla",1.5,2,2,0.116,0.904032111167908,0.659427523612976,52.69
9,"GraphRAG",3,3,2.5,0.431372549019608,0.946123838424683,0.774851322174072,8.99
9,"RAG",3,3,2.5,0.379310344827586,0.941534519195557,0.766401171684265,10.75
9,"Vanilla",2,1.5,2,0.0882352941176471,0.912439584732056,0.643899321556091,26.76
10,"GraphRAG",1,1,1.5,0.347826086956522,0.907921314239502,0.73591673374176,11.21
10,"RAG",3,2.5,2.5,0.705882352941176,0.96357524394989,0.845561146736145,4.42
10,"Vanilla",2,2,2,0.145454545454545,0.886562943458557,0.698005318641663,13.83
