"skup","dimenzija","par1","par2","V","p","p_bonf","r"
"svi","tocnost","Vanilla","RAG",7,8e-04,0.0025,0.897
"svi","tocnost","Vanilla","GraphRAG",17,0.0012,0.0037,0.801
"svi","tocnost","RAG","GraphRAG",30,0.8244,1,0.091
"svi","korisnost","Vanilla","RAG",6.5,0.0021,0.0062,0.876
"svi","korisnost","Vanilla","GraphRAG",13,0.0049,0.0148,0.783
"svi","korisnost","RAG","GraphRAG",45.5,1,1,0
"svi","halucinacije","Vanilla","RAG",0,0.0019,0.0057,1
"svi","halucinacije","Vanilla","GraphRAG",0,0.0034,0.0101,1
"svi","halucinacije","RAG","GraphRAG",16,0.7768,1,0.143
"očišćeni","tocnost","Vanilla","RAG",5,0,1e-04,0.967
"očišćeni","tocnost","Vanilla","GraphRAG",15.5,1e-04,2e-04,0.905
"očišćeni","tocnost","RAG","GraphRAG",77,0.6478,1,0.132
"očišćeni","korisnost","Vanilla","RAG",4,3e-04,0.001,0.953
"očišćeni","korisnost","Vanilla","GraphRAG",13,0.0014,0.0042,0.848
"očišćeni","korisnost","RAG","GraphRAG",60.5,1,1,0.008
"očišćeni","halucinacije","Vanilla","RAG",22,0.0091,0.0272,0.712
"očišćeni","halucinacije","Vanilla","GraphRAG",15,0.0031,0.0094,0.804
"očišćeni","halucinacije","RAG","GraphRAG",12.5,0.8605,1,0.107
